filename,reference_id,kadid_distortion_type,kadid_distortion_level,dmos,quality_score,blur,underexposure,overexposure,noise,corruption
I01_16_01.png,I01,Brighten,1,4.37,84.25,0,0,0,0,0
I01_16_02.png,I01,Brighten,2,4.47,86.75,0,0,0,0,0
I01_16_03.png,I01,Brighten,3,3.94,73.5,0,0,1,0,0
I01_16_04.png,I01,Brighten,4,3.17,54.25,0,0,1,0,0
I01_16_05.png,I01,Brighten,5,2.18,29.5,0,0,1,0,1
I01_23_01.png,I01,Color block,1,2.73,43.25,0,0,0,0,0
I01_23_02.png,I01,Color block,2,2.17,29.25,0,0,0,0,0
I01_23_03.png,I01,Color block,3,2.2,30.0,0,0,0,0,1
I01_23_04.png,I01,Color block,4,2.37,34.25,0,0,0,0,1
I01_23_05.png,I01,Color block,5,1.57,14.25,0,0,0,0,1
I01_04_01.png,I01,Color diffusion,1,4.73,93.25,0,0,0,0,0
I01_04_02.png,I01,Color diffusion,2,2.17,29.25,0,0,0,0,0
I01_04_03.png,I01,Color diffusion,3,1.37,9.25,0,0,0,0,0
I01_04_04.png,I01,Color diffusion,4,1.5,12.5,0,0,0,0,0
I01_04_05.png,I01,Color diffusion,5,1.47,11.75,0,0,0,0,1
I01_06_01.png,I01,Color quantization,1,4.23,80.75,0,0,0,0,0
I01_06_02.png,I01,Color quantization,2,4.4,85.0,0,0,0,0,0
I01_06_03.png,I01,Color quantization,3,3.9,72.5,0,0,0,0,1
I01_06_04.png,I01,Color quantization,4,2.9,47.5,0,0,0,0,1
I01_06_05.png,I01,Color quantization,5,2.27,31.75,0,0,0,0,1
I01_07_01.png,I01,Color saturation 1,1,2.73,43.25,0,0,0,0,0
I01_07_02.png,I01,Color saturation 1,2,2.5,37.5,0,0,0,0,0
I01_07_03.png,I01,Color saturation 1,3,2.27,31.75,0,0,0,0,0
I01_07_04.png,I01,Color saturation 1,4,2.47,36.75,0,0,0,0,0
I01_07_05.png,I01,Color saturation 1,5,2.2,30.0,0,0,0,0,1
I01_08_01.png,I01,Color saturation 2,1,4.7,92.5,0,0,0,0,0
I01_08_02.png,I01,Color saturation 2,2,3.77,69.25,0,0,0,0,0
I01_08_03.png,I01,Color saturation 2,3,2.73,43.25,0,0,0,0,0
I01_08_04.png,I01,Color saturation 2,4,1.97,24.25,0,0,0,0,0
I01_08_05.png,I01,Color saturation 2,5,1.67,16.75,0,0,0,0,1
I01_05_01.png,I01,Color shift,1,4.0,75.0,0,0,0,0,0
I01_05_02.png,I01,Color shift,2,2.2,30.0,0,0,0,0,0
I01_05_03.png,I01,Color shift,3,1.57,14.25,0,0,0,0,0
I01_05_04.png,I01,Color shift,4,1.33,8.25,0,0,0,0,0
I01_05_05.png,I01,Color shift,5,1.6,15.0,0,0,0,0,1
I01_25_01.png,I01,Contrast change,1,3.43,60.75,0,0,0,0,0
I01_25_02.png,I01,Contrast change,2,3.87,71.75,0,0,0,0,0
I01_25_03.png,I01,Contrast change,3,4.26,81.5,0,0,0,0,0
I01_25_04.png,I01,Contrast change,4,4.17,79.25,0,0,0,0,0
I01_25_05.png,I01,Contrast change,5,3.27,56.75,0,0,0,0,1
I01_17_01.png,I01,Darken,1,4.5,87.5,0,0,0,0,0
I01_17_02.png,I01,Darken,2,4.57,89.25,0,0,0,0,0
I01_17_03.png,I01,Darken,3,4.33,83.25,0,1,0,0,0
I01_17_04.png,I01,Darken,4,3.4,60.0,0,1,0,0,0
I01_17_05.png,I01,Darken,5,2.13,28.25,0,1,0,0,1
I01_15_01.png,I01,Denoise,1,3.57,64.25,0,0,0,0,0
